stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,verdict_v2,monotone_prefix_max_ms,it_count,poll_count,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
8,150,FAIL_STUCK,52,4206,1043,1803,s8_p150_yield.log,s8_p150_yield.txt,FAIL_STUCK,2252,0,52,FAIL_STUCK,2252,0,52
8,155,FAIL_STUCK,49,3307,903,2258,s8_p155_yield.log,s8_p155_yield.txt,FAIL_STUCK,900,0,49,FAIL_STUCK,900,0,49
8,200,FAIL_STUCK,47,3601,1050,1950,s8_p200_yield.log,s8_p200_yield.txt,FAIL_STUCK,3601,0,47,FAIL_STUCK,3601,0,47
8,233,FAIL_STUCK,51,2856,977,1956,s8_p233_yield.log,s8_p233_yield.txt,FAIL_STUCK,903,0,51,FAIL_STUCK,903,0,51
8,250,FAIL_STUCK,48,2853,1200,2100,s8_p250_yield.log,s8_p250_yield.txt,FAIL_STUCK,900,0,48,FAIL_STUCK,900,0,48
8,373,FAIL_STUCK,52,3153,1050,1950,s8_p373_yield.log,s8_p373_yield.txt,FAIL_STUCK,1800,0,52,FAIL_STUCK,1800,0,52
8,500,FAIL_STUCK,50,3000,1050,1950,s8_p500_yield.log,s8_p500_yield.txt,FAIL_STUCK,1200,0,50,FAIL_STUCK,1200,0,50
9,125,FAIL_STUCK,42,5700,900,2251,s9_p125_yield.log,s9_p125_yield.txt,FAIL_STUCK,3450,0,42,FAIL_STUCK,3450,0,42
9,145,FAIL_STUCK,55,4590,765,1530,s9_p145_yield.log,s9_p145_yield.txt,FAIL_STUCK,2262,0,55,FAIL_STUCK,2262,0,55
9,150,FAIL_STUCK,50,3843,791,2254,s9_p150_yield.log,s9_p150_yield.txt,FAIL_STUCK,1802,0,50,FAIL_STUCK,1802,0,50
9,155,FAIL_STUCK,42,4808,1200,1952,s9_p155_yield.log,s9_p155_yield.txt,FAIL_STUCK,1701,0,42,FAIL_STUCK,1701,0,42
9,200,FAIL_STUCK,53,3156,991,1800,s9_p200_yield.log,s9_p200_yield.txt,FAIL_STUCK,3156,0,53,FAIL_STUCK,3156,0,53
9,233,FAIL_STUCK,52,2864,907,1714,s9_p233_yield.log,s9_p233_yield.txt,FAIL_STUCK,1657,0,52,FAIL_STUCK,1657,0,52
9,250,FAIL_STUCK,53,2700,1021,1800,s9_p250_yield.log,s9_p250_yield.txt,FAIL_STUCK,1800,0,53,FAIL_STUCK,1800,0,53
9,373,FAIL_STUCK,57,2852,900,1592,s9_p373_yield.log,s9_p373_yield.txt,FAIL_STUCK,1201,0,57,FAIL_STUCK,1201,0,57
9,500,FAIL_STUCK,55,3450,900,1650,s9_p500_yield.log,s9_p500_yield.txt,FAIL_STUCK,750,0,55,FAIL_STUCK,750,0,55
10,125,FAIL_CYCLING,25,9285,1132,3750,s10_p125_yield.log,s10_p125_yield.txt,FAIL_CYCLING,3750,0,25,FAIL_CYCLING,3750,0,25
10,145,FAIL_STUCK,71,1540,795,1103,s10_p145_yield.log,s10_p145_yield.txt,FAIL_STUCK,955,0,71,FAIL_STUCK,955,0,71
10,150,FAIL_STUCK,68,1879,750,1301,s10_p150_yield.log,s10_p150_yield.txt,FAIL_STUCK,903,0,68,FAIL_STUCK,903,0,68
10,155,FAIL_STUCK,42,4259,983,2456,s10_p155_yield.log,s10_p155_yield.txt,FAIL_STUCK,1738,0,42,FAIL_STUCK,1738,0,42
10,200,FAIL_STUCK,49,3068,1066,2106,s10_p200_yield.log,s10_p200_yield.txt,FAIL_STUCK,2107,0,49,FAIL_STUCK,2107,0,49
