PKT t=10737 RX ua=95 mt=R len=7
PKT t=10742 TX ua=95 mt=P len=0
PKT t=10751 RX ua=95 mt=R len=7
PKT t=10756 TX ua=95 mt=P len=0
PKT t=10765 RX ua=95 mt=R len=7
PKT t=10770 TX ua=95 mt=T len=7
PKT t=10806 TX ua=95 mt=P len=0
PKT t=10815 RX ua=95 mt=R len=7
PKT t=10820 TX ua=95 mt=P len=0
PKT t=10829 RX ua=95 mt=R len=7
PKT t=10834 TX ua=95 mt=P len=0
PKT t=10843 RX ua=95 mt=R len=7
PKT t=10848 TX ua=95 mt=P len=0
PKT t=10857 RX ua=95 mt=R len=7
PKT t=10862 TX ua=95 mt=P len=0
PKT t=10871 RX ua=95 mt=R len=7
PKT t=10876 TX ua=95 mt=P len=0
PKT t=10905 RX ua=95 mt=R len=7
PKT t=10910 TX ua=95 mt=P len=0
PKT t=10919 RX ua=95 mt=R len=7
PKT t=10946 TX ua=95 mt=P len=0
PKT t=10955 RX ua=95 mt=R len=7
PKT t=10960 TX ua=95 mt=P len=0
PKT t=10969 RX ua=95 mt=R len=7
PKT t=10974 TX ua=95 mt=P len=0
PKT t=11005 RX ua=95 mt=R len=7
PKT t=11010 TX ua=95 mt=P len=0
PKT t=11019 RX ua=95 mt=R len=7
PKT t=11024 TX ua=95 mt=T len=7
PKT t=11037 TX ua=95 mt=P len=0
PKT t=11046 RX ua=95 mt=R len=7
PKT t=11051 TX ua=95 mt=P len=0
PKT t=11060 RX ua=95 mt=R len=7
PKT t=11065 TX ua=95 mt=P len=0
PKT t=11091 RX ua=95 mt=R len=7
PKT t=11346 TX ua=96 mt=P len=0
PKT t=11604 TX ua=95 mt=P len=0
PKT t=11613 RX ua=95 mt=R len=7
PKT t=11618 TX ua=95 mt=T len=7
PKT t=11630 TX ua=95 mt=P len=0
PKT t=11640 RX ua=95 mt=R len=7
PKT t=11645 TX ua=95 mt=P len=0
PKT t=11671 RX ua=95 mt=R len=7
PKT t=11926 TX ua=96 mt=P len=0
PKT t=12184 TX ua=95 mt=P len=0
PKT t=12194 RX ua=95 mt=R len=7
PKT t=12199 TX ua=95 mt=T len=7
PKT t=12211 TX ua=95 mt=P len=0
PKT t=12220 RX ua=95 mt=R len=7
PKT t=12225 TX ua=95 mt=P len=0
PKT t=12251 RX ua=95 mt=R len=7
PKT t=12506 TX ua=96 mt=P len=0
PKT t=12764 TX ua=95 mt=P len=0
PKT t=12773 RX ua=95 mt=R len=7
PKT t=12778 TX ua=95 mt=T len=7
PKT t=12790 TX ua=95 mt=P len=0
PKT t=12831 RX ua=95 mt=R len=7
PKT t=12836 TX ua=95 mt=T len=7
PKT t=12848 TX ua=95 mt=P len=0
PKT t=12857 RX ua=95 mt=R len=7
PKT t=12862 TX ua=95 mt=P len=0
PKT t=12871 RX ua=95 mt=R len=7
PKT t=12876 TX ua=95 mt=P len=0
PKT t=12909 RX ua=95 mt=R len=7
PKT t=12914 TX ua=95 mt=P len=0
PKT t=12923 RX ua=95 mt=R len=7
PKT t=12928 TX ua=95 mt=P len=0
PKT t=12937 RX ua=95 mt=R len=7
PKT t=12942 TX ua=95 mt=P len=0
PKT t=12951 RX ua=95 mt=R len=7
PKT t=12976 TX ua=95 mt=P len=0
PKT t=13009 RX ua=95 mt=R len=7
PKT t=13014 TX ua=95 mt=P len=0
PKT t=13023 RX ua=95 mt=R len=7
PKT t=13028 TX ua=95 mt=P len=0
PKT t=13037 RX ua=95 mt=R len=7
PKT t=13042 TX ua=95 mt=T len=7
PKT t=13054 TX ua=95 mt=P len=0
PKT t=13063 RX ua=95 mt=R len=7
PKT t=13068 TX ua=95 mt=P len=0
PKT t=13077 RX ua=95 mt=R len=7
PKT t=13082 TX ua=95 mt=P len=0
PKT t=13121 RX ua=95 mt=R len=7
PKT t=13126 TX ua=95 mt=P len=0
PKT t=13135 RX ua=95 mt=R len=7
PKT t=13140 TX ua=95 mt=P len=0
PKT t=13149 RX ua=95 mt=R len=7
PKT t=13154 TX ua=95 mt=P len=0
PKT t=13163 RX ua=95 mt=R len=7
PKT t=13168 TX ua=95 mt=P len=0
PKT t=13177 RX ua=95 mt=R len=7
PKT t=13182 TX ua=95 mt=P len=0
PKT t=13211 RX ua=95 mt=R len=7
PKT t=13216 TX ua=95 mt=P len=0
PKT t=13225 RX ua=95 mt=R len=7
PKT t=13230 TX ua=95 mt=P len=0
PKT t=13239 RX ua=95 mt=R len=7
PKT t=13266 TX ua=95 mt=P len=0
PKT t=13275 RX ua=95 mt=R len=7
PKT t=13280 TX ua=95 mt=T len=7
PKT t=13293 TX ua=95 mt=T len=7
PKT t=13306 TX ua=95 mt=P len=0
PKT t=13315 RX ua=95 mt=R len=7
PKT t=13320 TX ua=95 mt=P len=0
PKT t=13329 RX ua=95 mt=R len=7
PKT t=13334 TX ua=95 mt=P len=0
PKT t=13343 RX ua=95 mt=R len=7
PKT t=13348 TX ua=95 mt=P len=0
PKT t=13357 RX ua=95 mt=R len=7
PKT t=13362 TX ua=95 mt=P len=0
PKT t=13371 RX ua=95 mt=R len=7
PKT t=13376 TX ua=95 mt=P len=0
PKT t=13385 RX ua=95 mt=R len=7
PKT t=13411 TX ua=95 mt=P len=0
PKT t=13420 RX ua=95 mt=R len=7
PKT t=13425 TX ua=95 mt=P len=0
PKT t=13434 RX ua=95 mt=R len=7
PKT t=13439 TX ua=95 mt=P len=0
PKT t=13448 RX ua=95 mt=R len=7
PKT t=13453 TX ua=95 mt=P len=0
PKT t=13462 RX ua=95 mt=R len=7
PKT t=13467 TX ua=95 mt=P len=0
PKT t=13476 RX ua=95 mt=R len=7
PKT t=13481 TX ua=95 mt=P len=0
PKT t=13490 RX ua=95 mt=R len=7
PKT t=13495 TX ua=95 mt=P len=0
PKT t=13524 RX ua=95 mt=R len=7
PKT t=13529 TX ua=95 mt=P len=0
PKT t=13556 RX ua=95 mt=R len=7
PKT t=13561 TX ua=95 mt=T len=7
PKT t=13574 TX ua=95 mt=P len=0
PKT t=13584 RX ua=95 mt=R len=7
PKT t=13589 TX ua=95 mt=P len=0
PKT t=13599 RX ua=95 mt=R len=7
PKT t=13604 TX ua=95 mt=P len=0
PKT t=13633 RX ua=95 mt=R len=7
PKT t=13638 TX ua=95 mt=P len=0
PKT t=13648 RX ua=95 mt=R len=7
PKT t=13653 TX ua=95 mt=P len=0
PKT t=13663 RX ua=95 mt=R len=7
PKT t=13668 TX ua=95 mt=P len=0
PKT t=13701 RX ua=95 mt=R len=7
PKT t=13706 TX ua=95 mt=P len=0
PKT t=13732 RX ua=95 mt=R len=7
PKT t=13737 TX ua=95 mt=P len=0
PKT t=13747 RX ua=95 mt=R len=7
PKT t=13752 TX ua=95 mt=P len=0
PKT t=13762 RX ua=95 mt=R len=7
PKT t=13767 TX ua=95 mt=P len=0
PKT t=13777 RX ua=95 mt=R len=7
PKT t=13782 TX ua=95 mt=P len=0
PKT t=13792 RX ua=95 mt=R len=7
PKT t=13797 TX ua=95 mt=P len=0
PKT t=13807 RX ua=95 mt=R len=7
PKT t=13812 TX ua=95 mt=T len=7
PKT t=13846 TX ua=95 mt=P len=0
PKT t=13855 RX ua=95 mt=R len=7
PKT t=13860 TX ua=95 mt=P len=0
PKT t=13869 RX ua=95 mt=R len=7
PKT t=13874 TX ua=95 mt=P len=0
PKT t=13883 RX ua=95 mt=R len=7
PKT t=13888 TX ua=95 mt=P len=0
PKT t=13897 RX ua=95 mt=R len=7
PKT t=13902 TX ua=95 mt=P len=0
PKT t=13911 RX ua=95 mt=R len=7
PKT t=13916 TX ua=95 mt=P len=0
PKT t=13945 RX ua=95 mt=R len=7
PKT t=13950 TX ua=95 mt=P len=0
PKT t=13960 RX ua=95 mt=R len=7
PKT t=13965 TX ua=95 mt=P len=0
PKT t=13991 RX ua=95 mt=R len=7
PKT t=14246 TX ua=96 mt=P len=0
PKT t=14504 TX ua=95 mt=P len=0
PKT t=14513 RX ua=95 mt=R len=7
PKT t=14518 TX ua=95 mt=T len=7
PKT t=14530 TX ua=95 mt=P len=0
PKT t=14571 RX ua=95 mt=R len=7
PKT t=14576 TX ua=95 mt=T len=7
PKT t=14588 TX ua=95 mt=P len=0
PKT t=14597 RX ua=95 mt=R len=7
PKT t=14602 TX ua=95 mt=P len=0
PKT t=14611 RX ua=95 mt=R len=7
PKT t=14616 TX ua=95 mt=P len=0
PKT t=14647 RX ua=95 mt=R len=7
PKT t=14652 TX ua=95 mt=P len=0
PKT t=14661 RX ua=95 mt=R len=7
PKT t=14666 TX ua=95 mt=P len=0
PKT t=14675 RX ua=95 mt=R len=7
PKT t=14680 TX ua=95 mt=P len=0
PKT t=14689 RX ua=95 mt=R len=7
PKT t=14716 TX ua=95 mt=P len=0
PKT t=14747 RX ua=95 mt=R len=7
PKT t=14752 TX ua=95 mt=P len=0
PKT t=14761 RX ua=95 mt=R len=7
PKT t=14766 TX ua=95 mt=P len=0
PKT t=14775 RX ua=95 mt=R len=7
PKT t=14780 TX ua=95 mt=P len=0
PKT t=14789 RX ua=95 mt=R len=7
PKT t=14794 TX ua=95 mt=P len=0
PKT t=14803 RX ua=95 mt=R len=7
PKT t=14808 TX ua=95 mt=P len=0
PKT t=14817 RX ua=95 mt=R len=7
PKT t=14822 TX ua=95 mt=T len=7
PKT t=14834 TX ua=95 mt=P len=0
PKT t=14861 RX ua=95 mt=R len=7
PKT t=14866 TX ua=95 mt=P len=0
PKT t=14875 RX ua=95 mt=R len=7
