PKT t=11040 TX ua=95 mt=P len=0
PKT t=11049 RX ua=95 mt=R len=7
PKT t=11054 TX ua=95 mt=P len=0
PKT t=11063 RX ua=95 mt=R len=7
PKT t=11068 TX ua=95 mt=P len=0
PKT t=11077 RX ua=95 mt=R len=7
PKT t=11082 TX ua=95 mt=P len=0
PKT t=11114 RX ua=95 mt=R len=7
PKT t=11119 TX ua=95 mt=T len=7
PKT t=11131 TX ua=95 mt=P len=0
PKT t=11140 RX ua=95 mt=R len=7
PKT t=11145 TX ua=95 mt=P len=0
PKT t=11154 RX ua=95 mt=R len=7
PKT t=11159 TX ua=95 mt=P len=0
PKT t=11168 RX ua=95 mt=R len=7
PKT t=11173 TX ua=95 mt=T len=7
PKT t=11185 TX ua=95 mt=P len=0
PKT t=11214 RX ua=95 mt=R len=7
PKT t=11219 TX ua=95 mt=P len=0
PKT t=11228 RX ua=95 mt=R len=7
PKT t=11233 TX ua=95 mt=P len=0
PKT t=11242 RX ua=95 mt=R len=7
PKT t=11247 TX ua=95 mt=P len=0
PKT t=11272 RX ua=95 mt=R len=7
PKT t=11527 TX ua=96 mt=P len=0
PKT t=11785 TX ua=95 mt=P len=0
PKT t=11794 RX ua=95 mt=R len=7
PKT t=11799 TX ua=95 mt=T len=7
PKT t=11811 TX ua=95 mt=P len=0
PKT t=11820 RX ua=95 mt=R len=7
PKT t=11825 TX ua=95 mt=P len=0
PKT t=11834 RX ua=95 mt=R len=7
PKT t=11839 TX ua=95 mt=P len=0
PKT t=11848 RX ua=95 mt=R len=7
PKT t=11853 TX ua=95 mt=P len=0
PKT t=11862 RX ua=95 mt=R len=7
PKT t=11867 TX ua=95 mt=P len=0
PKT t=11876 RX ua=95 mt=R len=7
PKT t=11881 TX ua=95 mt=P len=0
PKT t=11914 RX ua=95 mt=R len=7
PKT t=11919 TX ua=95 mt=P len=0
PKT t=11928 RX ua=95 mt=R len=7
PKT t=11933 TX ua=95 mt=T len=7
PKT t=11945 TX ua=95 mt=P len=0
PKT t=11954 RX ua=95 mt=R len=7
PKT t=11959 TX ua=95 mt=P len=0
PKT t=11968 RX ua=95 mt=R len=7
PKT t=11973 TX ua=95 mt=P len=0
PKT t=11982 RX ua=95 mt=R len=7
PKT t=11987 TX ua=95 mt=P len=0
PKT t=12016 RX ua=95 mt=R len=7
PKT t=12021 TX ua=95 mt=P len=0
PKT t=12030 RX ua=95 mt=R len=7
PKT t=12035 TX ua=95 mt=P len=0
PKT t=12044 RX ua=95 mt=R len=7
PKT t=12071 TX ua=95 mt=P len=0
PKT t=12080 RX ua=95 mt=R len=7
PKT t=12085 TX ua=95 mt=P len=0
PKT t=12115 RX ua=95 mt=R len=7
PKT t=12120 TX ua=95 mt=T len=7
PKT t=12132 TX ua=95 mt=P len=0
PKT t=12141 RX ua=95 mt=R len=7
PKT t=12146 TX ua=95 mt=P len=0
PKT t=12155 RX ua=95 mt=R len=7
PKT t=12160 TX ua=95 mt=P len=0
PKT t=12169 RX ua=95 mt=R len=7
PKT t=12174 TX ua=95 mt=P len=0
PKT t=12183 RX ua=95 mt=R len=7
PKT t=12188 TX ua=95 mt=T len=7
PKT t=12200 TX ua=95 mt=P len=0
PKT t=12231 RX ua=95 mt=R len=7
PKT t=12236 TX ua=95 mt=P len=0
PKT t=12245 RX ua=95 mt=R len=7
PKT t=12250 TX ua=95 mt=P len=0
PKT t=12259 RX ua=95 mt=R len=7
PKT t=12264 TX ua=95 mt=P len=0
PKT t=12273 RX ua=95 mt=R len=7
PKT t=12278 TX ua=95 mt=P len=0
PKT t=12287 RX ua=95 mt=R len=7
PKT t=12292 TX ua=95 mt=P len=0
PKT t=12321 RX ua=95 mt=R len=7
PKT t=12326 TX ua=95 mt=P len=0
PKT t=12335 RX ua=95 mt=R len=7
PKT t=12340 TX ua=95 mt=P len=0
PKT t=12349 RX ua=95 mt=R len=7
PKT t=12354 TX ua=95 mt=P len=0
PKT t=12363 RX ua=95 mt=R len=7
PKT t=12391 TX ua=95 mt=P len=0
PKT t=12420 RX ua=95 mt=R len=7
PKT t=12425 TX ua=95 mt=P len=0
PKT t=12434 RX ua=95 mt=R len=7
PKT t=12439 TX ua=95 mt=T len=7
PKT t=12451 TX ua=95 mt=P len=0
PKT t=12460 RX ua=95 mt=R len=7
PKT t=12465 TX ua=95 mt=P len=0
PKT t=12474 RX ua=95 mt=R len=7
PKT t=12479 TX ua=95 mt=P len=0
PKT t=12488 RX ua=95 mt=R len=7
PKT t=12493 TX ua=95 mt=P len=0
PKT t=12522 RX ua=95 mt=R len=7
PKT t=12527 TX ua=95 mt=P len=0
PKT t=12552 RX ua=95 mt=R len=7
PKT t=12807 TX ua=96 mt=P len=0
PKT t=13065 TX ua=95 mt=P len=0
PKT t=13074 RX ua=95 mt=R len=7
PKT t=13079 TX ua=95 mt=T len=7
PKT t=13091 TX ua=95 mt=P len=0
PKT t=13121 RX ua=95 mt=R len=7
PKT t=13126 TX ua=95 mt=T len=7
PKT t=13139 TX ua=95 mt=P len=0
PKT t=13148 RX ua=95 mt=R len=7
PKT t=13153 TX ua=95 mt=P len=0
PKT t=13162 RX ua=95 mt=R len=7
PKT t=13167 TX ua=95 mt=P len=0
PKT t=13192 RX ua=95 mt=R len=7
PKT t=13447 TX ua=96 mt=P len=0
PKT t=13705 TX ua=95 mt=P len=0
PKT t=13714 RX ua=95 mt=R len=7
PKT t=13719 TX ua=95 mt=T len=7
PKT t=13732 TX ua=95 mt=P len=0
PKT t=13741 RX ua=95 mt=R len=7
PKT t=13746 TX ua=95 mt=P len=0
PKT t=13755 RX ua=95 mt=R len=7
PKT t=13760 TX ua=95 mt=P len=0
PKT t=13769 RX ua=95 mt=R len=7
PKT t=13774 TX ua=95 mt=P len=0
PKT t=13783 RX ua=95 mt=R len=7
PKT t=13788 TX ua=95 mt=P len=0
PKT t=13831 RX ua=95 mt=R len=7
PKT t=13836 TX ua=95 mt=P len=0
PKT t=13845 RX ua=95 mt=R len=7
PKT t=13850 TX ua=95 mt=P len=0
PKT t=13859 RX ua=95 mt=R len=7
PKT t=13864 TX ua=95 mt=P len=0
PKT t=13873 RX ua=95 mt=R len=7
PKT t=13878 TX ua=95 mt=P len=0
PKT t=13887 RX ua=95 mt=R len=7
PKT t=13892 TX ua=95 mt=P len=0
PKT t=13921 RX ua=95 mt=R len=7
PKT t=13926 TX ua=95 mt=P len=0
PKT t=13935 RX ua=95 mt=R len=7
PKT t=13940 TX ua=95 mt=P len=0
PKT t=13949 RX ua=95 mt=R len=7
PKT t=13954 TX ua=95 mt=T len=7
PKT t=13967 TX ua=95 mt=P len=0
PKT t=13992 RX ua=95 mt=R len=7
PKT t=14247 TX ua=96 mt=P len=0
PKT t=14505 TX ua=95 mt=P len=0
PKT t=14514 RX ua=95 mt=R len=7
PKT t=14519 TX ua=95 mt=T len=7
PKT t=14531 TX ua=95 mt=P len=0
PKT t=14540 RX ua=95 mt=R len=7
PKT t=14545 TX ua=95 mt=P len=0
PKT t=14554 RX ua=95 mt=R len=7
PKT t=14559 TX ua=95 mt=P len=0
